List Configuration,Seconds,# Data,# Loop,# Data Assignments,# Loop Assignments,# Other,Total
Sorted N = 500,1,3,3,1,1,0,8
Sorted N = 1000,2,3,3,1,1,0,7
Sorted N = 5000,3,2,1,1,1,0,5
Sorted N = 10000,4,2,2,2,1,0,7
Descending Sorted N = 500 ,5,0,0,0,0,0,0
Descending Sorted N = 1000,6,0,0,0,0,0,0
Descending Sorted N = 5000,7,1,1,1,1,0,4
Descending Sorted N = 10000 ,8,1,1,1,1,0,4
Random N = 500 ,9,3,1,1,1,0,6
Random N = 1000 ,10,3,1,1,1,0,6
Random N = 5000 ,11,2,1,1,1,0,5
Random N = 10000 ,12,2,1,1,1,0,5
