List Configuration,Seconds,# Data,# Loop,# Data Assignments,# Loop Assignments,# Other,Total
Sorted N = 500,1,1,3,8,1,2,15
Sorted N = 1000,2,1,3,8,1,2,15
Sorted N = 5000,3,1,3,8,1,2,15
Sorted N = 10000,4,1,3,8,1,2,15
Descending Sorted N = 500 ,5,0,0,0,0,1,1
Descending Sorted N = 1000,6,0,0,0,0,1,1
Descending Sorted N = 5000,7,1,3,8,1,2,15
Descending Sorted N = 10000 ,8,1,3,8,1,2,15
Random N = 500 ,9,1,3,8,1,2,15
Random N = 1000 ,10,1,3,8,1,2,15
Random N = 5000 ,11,2,3,8,1,2,16
Random N = 10000 ,12,2,3,8,1,2,16
